"id","favors","slavery","deserve","harder","rr_all","rr","notes","valid_items"
302477850,0.25,0,0.5,0,0.1875,0.1875,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302612165,0.5,0.75,0.75,0.5,0.625,0.625,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
304672852,0.75,0.75,1,0.5,0.75,0.75,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
303377097,1,0.75,1,0.75,0.875,0.875,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
304672890,0.75,0.75,0.75,0.75,0.75,0.75,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
303070177,0.75,0.75,0.75,0.75,0.75,0.75,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
303097155,0.75,0.75,0.5,0.25,0.5625,0.5625,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302623270,1,1,0.75,1,0.9375,0.9375,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
303034014,0.5,0.75,0.75,0.5,0.625,0.625,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302521824,0.5,0.5,0.5,0.25,0.4375,0.4375,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302888055,0,1,0.25,0,0.3125,0.3125,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302527928,1,1,1,1,1,1,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
304955804,0,0,0.25,0,0.0625,0.0625,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302478100,0.75,1,1,0.75,0.875,0.875,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302686928,0,0.25,0.5,0,0.1875,0.1875,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
303145870,0.25,0,0,0,0.0625,0.0625,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
303238148,0.5,0.5,0.5,0.5,0.5,0.5,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302568680,0.75,0.25,0.25,0.25,0.375,0.375,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
304329442,1,0.75,0.75,0.75,0.8125,0.8125,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
304673121,0,0,0,0,0,0,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302798299,1,1,0.75,1,0.9375,0.9375,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
304673132,0,0,0,0.25,0.0625,0.0625,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302586535,0.5,0.5,0.25,0.5,0.4375,0.4375,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
303232811,0.5,0.25,0.5,0.25,0.375,0.375,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
304673178,0.75,0.75,0.5,0.75,0.6875,0.6875,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
303121523,0.75,0.25,0.25,0.25,0.375,0.375,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
304482454,NA,NA,NA,NA,NA,NA,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",0
302536379,0,0,0,0,0,0,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302473572,0,0,0,0,0,0,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302984075,1,1,1,1,1,1,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
304673210,0.25,0.5,0.25,0,0.25,0.25,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302612117,0,0,0,0,0,0,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302532325,1,1,0.5,0.75,0.8125,0.8125,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302472552,0.75,0.75,0.75,0.5,0.6875,0.6875,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302638375,0.75,0.5,0.5,0.5,0.5625,0.5625,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
304673245,0.75,0.5,0.75,0.5,0.625,0.625,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302584136,0.5,0.25,0.5,0.5,0.4375,0.4375,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
303106171,1,0.75,1,0.75,0.875,0.875,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
304482500,0.75,0.5,0.25,0.25,0.4375,0.4375,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
301404760,0.5,0,0,0,0.125,0.125,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
303028702,0.25,0.25,0.5,0.25,0.3125,0.3125,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
303819450,0.25,0.25,0.5,0.25,0.3125,0.3125,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302473706,0.75,0.5,0.5,0.5,0.5625,0.5625,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302951551,1,0.75,0.5,0.75,0.75,0.75,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
304956196,0,0,0.25,0,0.0625,0.0625,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302636021,0.75,0.75,0.75,0.75,0.75,0.75,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302600894,0.75,1,1,1,0.9375,0.9375,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302572297,0,0.25,0.25,0.25,0.1875,0.1875,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302798466,0,0,0.25,0,0.0625,0.0625,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302592003,0.5,0.25,0.5,0.25,0.375,0.375,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302478989,0,0,0,0,0,0,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
304083744,1,0.5,0.75,0.5,0.6875,0.6875,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
304673459,0.75,1,0.75,1,0.875,0.875,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
303202750,0.5,0.25,0.75,0.5,0.5,0.5,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302930438,0,0,0,0,0,0,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
301117572,0,1,0.5,0.5,0.5,0.5,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302433324,1,0.5,0.5,0.5,0.625,0.625,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302699830,1,1,0.75,1,0.9375,0.9375,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302773251,1,1,0.75,0.75,0.875,0.875,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
304915200,0.75,1,0.75,0.5,0.75,0.75,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302679197,0.25,0.5,0.25,0.25,0.3125,0.3125,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
303364015,0.75,0.75,0.75,0.5,0.6875,0.6875,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302600474,0.75,0.5,0.75,0.5,0.625,0.625,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302544842,0.5,0.25,0.5,0.25,0.375,0.375,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302641745,0.75,0.25,0.25,0.75,0.5,0.5,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302891216,0.75,0.75,0.75,0.75,0.75,0.75,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
304938636,0.5,0.5,0.5,0.5,0.5,0.5,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302621145,0.5,1,1,0,0.625,0.625,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
303138438,0.75,0.5,0.75,0.75,0.6875,0.6875,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302769634,0.75,1,0.5,0.5,0.6875,0.6875,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302572962,1,1,1,1,1,1,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
303129331,0.75,0.5,0.5,0.5,0.5625,0.5625,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
304768537,0.75,0.5,1,0.5,0.6875,0.6875,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
303078023,0.5,0.5,0.5,0.5,0.5,0.5,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302652321,0.75,0.5,0.5,0.75,0.625,0.625,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
304105985,NA,NA,NA,NA,NA,NA,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",0
304115172,1,1,0.5,1,0.875,0.875,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
303354606,0.5,0.5,0.5,0.5,0.5,0.5,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
303104482,0,0.25,0.25,0,0.125,0.125,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302979076,1,1,1,0.5,0.875,0.875,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302811065,1,1,0.25,0.5,0.6875,0.6875,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302511117,1,0.25,0.75,0.75,0.6875,0.6875,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
303293368,1,1,1,0.75,0.9375,0.9375,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302728606,0.5,0.25,0.25,0.25,0.3125,0.3125,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
304541976,0.25,0.25,0.25,0.25,0.25,0.25,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302714602,0.75,0.5,0.75,0.5,0.625,0.625,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
303108989,0.5,0.5,0.5,0.5,0.5,0.5,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302699476,1,1,1,1,1,1,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
304956710,1,1,0.25,0.75,0.75,0.75,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302864555,1,0.75,0.5,0.5,0.6875,0.6875,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302910465,0.75,0.75,0.75,0.25,0.625,0.625,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302557918,1,1,1,1,1,1,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302816155,0.5,0.75,0.5,0.25,0.5,0.5,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
304956741,1,0.75,0.75,0.5,0.75,0.75,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
304482740,0,0,0,0,0,0,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302572232,0.75,0.5,0.5,0.75,0.625,0.625,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302636805,0.5,0.25,0.25,0.25,0.3125,0.3125,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302470755,0.75,0.5,0.5,0.5,0.5625,0.5625,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
303074151,0.5,0.5,0.5,0.5,0.5,0.5,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
304956763,1,0,0,1,0.5,0.5,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302476915,0.75,0.75,0.5,0.75,0.6875,0.6875,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302287004,0.75,0.75,0.75,0.5,0.6875,0.6875,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302567127,0.75,0.5,0.25,0.75,0.5625,0.5625,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
303360052,0,1,0,0,0.25,0.25,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302542090,0.5,0.75,0.75,0.5,0.625,0.625,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
303142257,0.25,0.25,0.25,0,0.1875,0.1875,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
303707013,0.75,1,1,0.75,0.875,0.875,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
303277433,0.75,0.75,0.75,0.25,0.625,0.625,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
304673843,1,0.75,0.75,0.75,0.8125,0.8125,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
303490362,0.5,0.75,0.5,0,0.4375,0.4375,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
304956815,0.75,0.25,0.75,0.25,0.5,0.5,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302774248,1,0.75,1,0.75,0.875,0.875,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
304673869,0.25,0,0.25,0,0.125,0.125,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
303898684,0.75,0.25,0.5,0.5,0.5,0.5,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302867345,0.5,0.25,0.5,0.25,0.375,0.375,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302657457,0.75,1,1,0.75,0.875,0.875,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
303125472,0.75,0.75,0.5,0.75,0.6875,0.6875,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302534647,0.25,0.25,0.25,0,0.1875,0.1875,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302522104,1,0.75,0.75,0.75,0.8125,0.8125,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302553958,1,0.75,1,0.75,0.875,0.875,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
301523676,0.5,NA,0.25,0,NA,0.25,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",3
303276093,0.75,0.75,0.75,0,0.5625,0.5625,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
303019919,0.75,0.75,0.5,0.5,0.625,0.625,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
304482824,0.5,0.75,0.75,0.75,0.6875,0.6875,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302662821,1,0.75,0.75,0.75,0.8125,0.8125,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302509960,0.5,0.25,0.25,0.25,0.3125,0.3125,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302671161,0.75,0.75,0.75,0.25,0.625,0.625,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
303466952,0.75,0.5,0.5,0.5,0.5625,0.5625,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302638561,0.5,0.25,0.75,0.25,0.4375,0.4375,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
303170165,0.5,0.25,0.5,0.25,0.375,0.375,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302876608,0.5,0.75,0.5,0.25,0.5,0.5,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
304674056,0,0,0,0,0,0,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302544465,0.75,0.5,0.5,0.5,0.5625,0.5625,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302780901,0.5,0.25,0.5,0.25,0.375,0.375,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
304957094,0.75,0.5,0.5,0.5,0.5625,0.5625,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
303295550,0.75,0.25,0.5,0.25,0.4375,0.4375,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302867550,0.5,1,1,0,0.625,0.625,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
304674126,1,0.75,0.75,1,0.875,0.875,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302486009,0.25,0.25,0.5,0.25,0.3125,0.3125,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
304674171,0.5,0.75,0.75,0.5,0.625,0.625,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302529720,NA,NA,NA,NA,NA,NA,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",0
302569043,0.5,0.5,0.75,0.5,0.5625,0.5625,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302605794,1,0.5,0.5,0.25,0.5625,0.5625,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302535722,1,1,1,0.75,0.9375,0.9375,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
304674218,0.75,0.5,0.75,0.5,0.625,0.625,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302477345,0.75,0.75,0.75,0.25,0.625,0.625,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302535468,0.5,0.5,0.75,0.75,0.625,0.625,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302731667,NA,NA,NA,NA,NA,NA,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",0
302610877,0.5,0.25,0.25,0.5,0.375,0.375,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302406597,0.75,0.75,0.5,0.75,0.6875,0.6875,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302531907,1,1,1,1,1,1,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302931453,0.75,0.25,0.5,0.75,0.5625,0.5625,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
303128090,0.75,0.5,0.5,0.75,0.625,0.625,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302482811,0.5,0.5,0.5,0.5,0.5,0.5,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
303079610,1,0,1,0.75,0.6875,0.6875,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302966131,1,1,1,1,1,1,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
304957354,0.25,0,0.25,0.25,0.1875,0.1875,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302679183,1,0.75,0.75,0.75,0.8125,0.8125,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302849398,1,0.5,0.25,1,0.6875,0.6875,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302513425,0.75,0.5,0.5,0.75,0.625,0.625,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
